name,media_type,genre,plot_score,characters_score,production_score,dialog_score,rank
Halt and Catch Fire,tv,drama,8,7,7,8,1
Community,tv,comedy,8,10,5,9,2
Westworld,tv,drama,9,7,10,8,3
House,tv,drama,9,9,7,7,4
Black Mirror,tv,drama,10,1,10,5,5
How I Met Your Mother,tv,sitcom,6,9,3,7,6
Rick and Morty,tv,comedy,9,4,4,9,7
Sherlock,tv,drama,9,5,8,8,8
Portlandia,tv,comedy,3,2,2,8,9
The Queen's Gambit,tv,drama,6,7,9,8,10
Silicon Valley,tv,comedy,7,8,5,8,11
Wild Wild Country,tv,documentary,10,7,7,4,12
